"Name"	"Strain"
"Lactobacillus bobalius"	"203"
"Loktanella agnita"	"R10SW5T"
"Loktanella rosea"	"Fg36T"
"Salegentibacter flavus"	"Fg 69"
"Alteromonas addita"	"R10SW13T"
"Yeosuana aromativorans"	"GW1-1"
"Kordiimonas gwangyangensis"	"GW14-5T"
"Methylobacterium oryzae"	"CBMB20T"
"Lactobacillus concavus"	"C-5-1T"
"Alcanivorax dieselolei"	"B-5T"
"Corynebacterium hansenii"	"C-138T"
"Yania flava"	"YIM 70178T"
"Alcanivorax balearicus"	"MACL04T"
"Pseudoxanthomonas kalamensis"	"JA40"
"Gluconacetobacter kombuchae"	"RG3T"
"Tetragenococcus koreensis"	"JST"
"Lactobacillus nantensis"	"LP33"
"Pseudomonas argentinensis"	"CH01T"
"Caminibacter mediatlanticus"	"TB-2T"
"Lacinutrix copepodicola"	"DJ3T"
"Subsaximicrobium wynnwilliamsii"	"G#7T"
"Subsaximicrobium saxinquilinus"	"Y4-5T"
"Subsaxibacter broadyi"	"P7T"
"Bizionia myxarmorum"	"ADA-4T"
"Bizonia algoritergicola"	"APA1-T"
"Bizionia gelidisalsuginis"	"IC164T"
"Bizionia saleffrena"	"HFDT"
"Gillisia hiemivivida"	"IC154T"
"Gillisia sandarakina"	"IC148T"
"Gillisia illustrilutea"	"IC157T"
"Gelidibacter gilvus"	"IC162T"
"Gelidibacter salicanalis"	"IC162T"
"Pusillimonas noertemannii"	"BN9T"
"Algoriphagus yeomjeoni"	"MSS-160T"
"Lactobacillus sobrius"	"OTU171-001"
"Rheinheimera texasensis"	"A62-14BT"
"Tsukamurella spongiae"	"K362T"
"Psychrobacter aquimaris"	"SW-210T"
"Psychrobacter namhaensis"	"SW-242T"
"Desulfonatronum cooperativum"	"Z-7999T"
"Rhodococcus  kroppenstedtii"	"K07-23"
"Desulfovibrio paquesii"	"SB1T "
"Staphylococcus simiae"	"CCM 7213T"
"Herminiimonas arsenicoxydans"	"ULPAs1"
"Herminiimonas arsenicoxydans"	"ULPAs1"
"Agromyces subbeticus"	"Z33T"
"Erythrobacter luteolus"	"SW-109T"
"Paenibacillus motobuensis"	"MC10T"
"Proteiniphilum acetatigenes"	"TB107T"
"Herbidospora  Herbidospora daliensis"	"0385M-1"
"Herbidospora daliensis"	"0385M-1"
"Streptomyces bangladeshensis"	"AAB-4T"
"Paenibacillus rhizosphaerae"	"CECAP06T"
"Burkholderia mimosarum"	"PAS44"
"Roseivirga echinicomitans"	"KMM 6058T"
"Caldalkalibacillus thermarum"	"HA6"
"Gramella marina"	"KMM 6048"
"Lentibacillus salis"	"BH113"
"Labrys methylaminiphilus"	"JLW10T"
"Sphingomonas kaistensis"	"PB56T"
"Pseudoalteromonas spongiae"	"UST010723-006T"
"Maribacter arcticus"	"KOPRI 20941"
"Spiroplasma penaei"	"SHRIMPT"
"Burkholderia sabiae"	"Br3407"
"Burkholderia nodosa"	"Br3437T"
"Ochrobactrum cytisi"	"ESC1T"
"Giesbergeria voronezhensis"	"D-419"
"Giesbergeria kuznetsovii"	"D-412"
"Photobacterium aplysiae"	"GMD509T"
"Phyllobacterium brassicacearum"	"STM 196"
"Phyllobacterium bourgognense"	"STM 201"
"Phyllobacterium leguminum"	"ORS 1419"
"Phyllobacterium ifriqiyense"	"STM 370"
"Phyllobacterium trifolii"	"PETP02T"
"Pseudomonas panacis"	"CG20106T"
"Isoptericola halotolerans"	"YIM 70177T"
"Petrotoga halophila"	"MET-BT"
"Marinococcus halotolerans"	"YIM 70157T"
"Methanosaeta harundinacea"	"8Ac"
"Exiguobacterium profundum"	"10CT"
"Nesterenkonia halophila"	"YIM 70179"
"Virgibacillus dokdonensis"	"DSW-10T"
"Aeromicrobium alkaliterrae"	"KSL-107T"
"Streptomyces cheonanensis"	"VC-A46"
"Methylothermus thermalis"	"MYHTT"
"Acetobacter oeni"	"B13"
"Quadrisphaera granulorum"	"AG019T"
"Desulfuromonas svalbardensis"	"112"
"Desulfuromusa ferrireducens"	"102"
"Algoiphagus locisalis"	"MSS-170T"
"Nocardioides kribbensis"	"KSL-2T"
"Thorsellia anophelis"	"CCUG 49520"
"Thorsellia anophelis"	"CCUG 49520"
"Janibacter anophelis"	"H2.16B"
"Haloferax larsenii"	"ZJ206T"
"Paenibacillus harenae"	"B519T"
"Marinimicrobium koreense"	"M9"
"Marinimicrobium agarilyticum"	"M18"
"Prevotella  baroniae"	"E9.33T"
"Psychrobacter celer"	" SW-238T"
"Paenibacillus woosongensis"	"YB-45"
"Winogradskyella poriferorum"	"UST030701-295T"
"Dialister propionicifaciens"	"ADV 1053.03T"
"Ureibacillus suwonensis"	"6T19"
"Leadbetterella byssophila"	"4M15T"
"Halomonas almerie"	"M8T"
"Clostridium lundense"	"R1"
"Deinococcus deserti"	"VCD115T"
"Streptomyces yanglinensis"	"1307"
"Streptomyces rubidus"	"13c15"
"Streptomyces guanduensis"	"701"
"Streptomyces paucisporeus"	"1413"
"Fervidobacterium changbaicum"	"CBS-1T"
"Denitratisoma  oestradiolicum"	"AcBE2-1"
"Tetrathiobacter  mimigardefordensis"	"DPN7"
"Halobacillus yeomjeoni"	"MSS-402T"
"Acetobacter senegalensis"	" CWBI-B418T"
"Chryseobacterium soldanellicola"	"PSD1-4"
"Chryseobacterium taeanense"	"PHA3-4"
"Gaetbulibacter saemankumensis"	"SMK-12T"
"Paenibacillus assamensis"	"GPTSA11T"
"Cellulomonas terrae"	"DB5T"
"Dyella koreensis"	"BB4T"
"Dermacoccus abyssi"	"MT1.1"
"Sphingomonas yunnanensis"	"YIM003T"
"Sandarakinorhabdus limnophila"	"so42"
"Clostridium ganghwense"	"HY-42-06"
"Emticicia oligotrophica"	"GPTSA100-15"
"Jannaschia seosinensis"	"CL-SP26"
"Maribius salinus"	"CL-SP27T"
"Prolixibacter bellariivorans"	"F2T"
"Alteromonas hispanica"	"F-32T"
"Palleronia marisminoris"	"B33T"
"Pseudoxanthomonas  suwonensis"	"4M1"
"Myceligenerans crystallogenes"	" CD12E2-27"
"Nocardioides dubius"	"KSL-104T"
"Bacillus lehensis"	"MLB2T"
"Thermaerobacter litoralis"	"KW1"
"Mycobacterium rufum"	"JS14T"
"Mycobacterium aromaticivorans"	"JS19b1T"
"Enterococcus caccae"	"2215-02"
"Terrabacter terrae"	"PPLBT"
"Pseudomonas otitidis"	"MCC10330"
"Pediococcus cellicola"	"Z-8T"
"Prevotella nanceiensis"	"LBN 293T"
"Paenibacillus alkaliterrae"	"KSL-134T"
"Maribacter dokdonensis"	"DSW-8T"
"Photobacterium ganghwense"	"FR1311"
"Cyclobacterium amurskyense"	"KMM6143T"
"Desulfotomaculum carboxydivorans"	"CO-1-SRBT"
"Shimia marina"	"CL-TA03"
"Lutibacter litoralis"	"CL-TF09"
"Tenacibacterium litoreum"	"CL-TF13"
"Microbacterium koreense"	"JS53-2"
"Nocardia jejuensis"	"N3-2"
"Burkholderia silvatlantica"	"SRMrh-20"
"Massilia dura"	"16"
"Massilia albidiflava"	"45"
"Massilia plicata"	"76"
"Massilia lutea"	"101"
"Actinocorallia cavernae"	"N3-7"
"Brevundimonas kwangchunensis"	"KSL-102"
"Dietzia kunjamensis"	"K30-10"
"Alistipes onderdonkii"	"WAL 8169"
"Alistipes shahii"	"WAL 8301"
"Nonlabens tegetincola"	"UST030701-324T"
"Gaetbulimicrobium  brevivitae"	"SMK-19"
"Dokdonella koreensis"	"DS-123"
"Kocuria himachalensis"	"K07-05"
"Kribbella karoonensis"	"Q41"
"Kribbella swartbergensis"	"HMC25"
"Shinella granuli"	"Ch06"
"Shinella granuli"	"Ch06"
"Spirochaeta dissipatitropha"	"ASpC2T"
"Streptosporangium canum"	"HBUM 170018T"
"Bacillus niabensis"	"4T19T"
"Catellatospora coxensis"	"2-29(17)"
"Psychromonas aquimarina"	"JAMM 0404"
"Psychromonas macrocephali"	"JAMM 0415"
"Lactobacillus pobuzihii"	"E100301"
"Burkholderia acidipaludis"	"SA33"
"Dehalococcoides mccartyi"	"195"
"Magnetococcus marinus"	"MC-1"
"Methylophaga frappieri"	"JAM7"
"Methylophaga nitratireducenticrescens"	"JAM1"
"Cloacibacillus  evryensis"	"158"
"Amycolatopsis jejuensis"	"N7-3"
"Psychroserpens mesophilus"	"KOPRI 13649"
"Gramella portivictoriae"	"UST040801-001T"
"Dokdonia donghaensis"	"DSW-1T"
"Polaribacter dokdonensis"	"DSW-5"
"Helicobacter cynogastricus"	"JKM4"
"Neisseria animaloris"	"EF-4a"
"Neisseria zoodegmatis"	"EF-4b"
"Colwellia polaris"	"537"
"Capnocytophaga leadbetteri"	"AHN8855"
"Pseudoalteromonas byunsanensis"	"FR1199T"
"Marinomonas dokdonesis"	"DSW10-10T"
"Porphyrobacter dokdonensis"	"DSW-74"
"Aeromonas sharmana"	"GPTSA-6"
"Deinococcus caeni"	"Ho-08"
"Aquitalea magnusonii"	"TRO-001DR8"
"Salicola marasensis"	"7Sm5"
"Flavobacterium saliperosum"	"S13"
"Azospirillum melinis"	"TMCY 0552"
"Fontibacillus Fontibacillus aquaticus"	"GPTSA 19"
"Fontibacillus aquaticus"	"GPTSA 19"
"Bacillus okhensis"	"Kh10-101"
"Colwellia aestuarii"	"SMK-10"
"Ignisphaera  aggregans"	"AQ1.S1"
"Marinobacter psychrophilus"	"20041"
"Mycetocola reblochoni"	"LMG 22367"
"Streptomyces durmitorensis"	"MS405T"
"Desulfosalsimonas propionicica"	"PropA"
"Desulfosalsimonas  Desulfosalsimonas propionicica"	"PropA"
"Thermovirga lienii"	"Cas60314"
"Halovibrio denitrificans"	"HGD 3"
"Halospina denitrificans"	"HGD 1-3"
"Sporosarcina koreensis"	"F73T"
"Sporosarcina soli"	"I80T "
"Amycolatopsis minnesotensis"	"32U-2"
"Actinomadura hallensis"	"H647-1"
"Fabibacter halotolerans"	"UST030701-097"
"Roseivirga spongicola"	"UST030701-084"
"Sphingosinicella soli"	"KSL-125"
"Pseudomonas xiamenensis"	"C10-2"
"Rhodococcus qingshengii"	"djl-6T"
"Thiomonas bhubaneswarensis"	"S10T"
"Salinivibrio proteolyticus"	"AF-2004"
"Pedobacter koreensis"	"WPCB189T"
"Goodfellowia coeruleoviolacea"	"NRRL B-24058"
"Polaromonas hydrogenivorans"	"DSM 17735T"
"Streptmocyces lunalinharesii"	"RCQ1071"
"Pedobacter suwonensis"	"15-52T"
"Vibrio litoralis"	"MANO22DT"
"Sul•ÂÅtobacter litoralis"	"Iso 3T"
"Rhizobium mesosinicum"	" CCBAU 25010T"
"Spiroplasma leucomae"	"SMAT"
"Paracoccus tibetensis"	"Tibet-S9a3"
"Stenotrophomonas ginsengisoli"	"DCY01"
"Stenotrophomonas ginsengisoli"	"DCY01"
"Flectobacillus lacus"	"CL-GP79"
"Pedobacter roseus"	"CL-GP80"
"Clostridium aciditolerans"	"JW/YJL-B3T"
"Bacillus qingdaonensis"	"CM1T"
"Desulfosporosinus youngiae"	"JW/YJL-B18T"
"Pseudidiomarina taiwanensis"	"PIT1"
"Methylosoma difficile"	"LC2T"
"Microbacterium immunditiarum"	"SK 18"
"Planifilum yunnanense"	"LA5T"
"Roseovarius pacificus"	"81-2T"
"Donghicola xiamenensis"	"Y-2T"
"Nocardioides lentus"	"KSL-17"
"Sulfobacillus thermotolerans"	"Kr1"
"Clostridium  aestuarii"	" HY-45-18T"
"Halomonas smyrnensis"	"AAD6"
"Virgibacillus olivae"	"E308T"
"Streptomyces polyantibioticus"	"SPRT"
"Desulfatirhabdium butyrativorans"	"HB1"
"Desulfotomaculum arcticum"	"15"
"Desulfovibrio   frigidus"	"18"
"Desulfovibrio ferrireducens"	"61"
"Herbaspirillum hiltneri"	"N3"
"Moraxella bovoculi"	"237T"
"Thermomonas koreensis"	"Ko06"
"Agrococcus lahaulensis"	"K22-21"
"Mycobacterium arupense"	"AR30097"
"Williamsia faeni"	"N1350"
"Peptostreptococcus stomatis"	"W2278"
"Amycolatopsis taiwanensis"	"0345M-7"
"Lacinutrix algicola"	"AKS293"
"Lacinutrix mariniflava"	"AKS432"
"Costertonia aggregata"	"KOPRI 13342"
"Agrococcus casei"	"R-17892t2T"
"Sinococcus qinghaiensis"	"YIM 70212"
"Hymenobacter psychrotolerans"	"Tibet-IIU11"
"Pelagibaca bermudensis"	"HTCC2601"
"Flavobacterium soli"	"DS-6"
"Stenotrophomonas   Stenotrophomonas  "	"DS-16"
"Variovorax dokdonensis"	"DS-43"
"Rhodococcus Rhodococcus jialingiae"	"djl-6-2"
"Rhodococcus jialingiae"	"djl-6-2"
"Echinicola pacifica"	"KMM 6172"
"Desulfovibrio carbinoliphilus"	"D41"
"Herbaspirillum  rhizosphaerae"	"UMS-37T"
"Oceanisphaera  donghaensis"	"BL1"
"Salegentibacter agarivorans"	"KMM 7019"
"Lysobacter daejeonensis"	"GH1-9"
"Lysobacter yangpyeongensis"	"GH19-3"
"Flagellimonas eckloniae"	"DOKDO007T"
"Croceitalea dokdonensis"	"DOKDO 023"
"Methanococcus aeolicus"	"Nankai-3"
"Zobellella denitrificans"	"ZD1"
"Zobellella taiwanensis"	"ZT1"
"Clostridium  Clostridium cavendishii"	"BL-28"
"Clostridium cavendishii"	"BL-28"
"Clostridium  Clostridium hydrogeniformans"	"BL-20"
"Clostridium hydrogeniformans"	" BL-20"
"Brooklawnia cerclae"	"BL-34"
"Kineococcus marinus"	"KST3-3"
"Gillisia myxillae"	"UST050418-085"
"Natronorubrum aibiense"	"07-Mar"
"Desulfovirgula thermocuniculi"	"RL80JIVT"
"Streptacidiphilus oryzae"	"TH49"
"Thalassomonas agarivorans"	"TMA1"
"Nocardioides kongjuensis"	"A2-4"
"Corynebacterium marinum"	"D7015"
"Corynebacterium marinum"	"D7015"
"Sneathiella chinensis"	"LMG 23452T "
"Caldalkalibacillus uzonensis"	"JW/WZ-YB58"
"Flavobacterium daejeonense"	"GH1-10"
"Flavobacterium suncheonense"	"GH29-5"
"Megasphaera sueciensis"	"VTT E-97791"
"Megasphaera paucivorans"	"VTT E-032341"
"Pectinatus haikarae"	"VTT E-88329"
"Salimicrobium lutem"	"BY-5T"
"Mucilaginibacter lappiensis"	"ANJLI2"
"Pedobacter sandarakinus"	"DS-27"
"Nocardia coubleae"	"OFN N12T"
"Arenimonas malthae"	"CC-JY-1T"
"Arenimonas malthae"	"CC-JY-1T"
"Niastella yeongjuensis"	"GR20-13"
"Niastella koreensis"	"GR20-10"
"Herbidospora  Herbidospora yilanensis"	"0351M-12"
"Herbidospora yilanensis"	"0351M-12"
"Chitinimonas koreensis"	"R2A43-10"
"Chryseobacterium wanjuense"	"R2A10-2"
"Enterobacter turicensis"	"508/05T"
"Enterobacter pulveris"	"601/05"
"Enterobacter helveticus"	"513/05T"
"Bacillus kribbensis"	"BT080T"
"Halomonas kribbensis"	"BH843T"
"Leeia oryzae"	"HW7T"
"Albimonas donghaensis"	"DS2"
"Methanoregula boonei"	"Candidatus Methanoregula boonei"
"Methanoregula boonei"	"6A8"
"Actinomadura rudentiformis"	" HMC1T"
"Shewanella loihica"	"PV-4"
"Lentzea kentuckyensis"	"LDDC 2876-05T"
"Leeuwenhoekiella blandensis"	"MED217"
"Desulfovibrio arcticus"	"B15"
"Clostridium tagluense"	"A121T"
"Oceanobacillus chironomi"	"T3944DT"
"Altererythrobacter epoxidivorans"	"JCS350T "
"Helicobacter equorum"	"EqF1T"
"Paenibacillus soli"	"DCY03T"
"Streptomyces vietnamensis"	"GIMV4.0001T"
"Mesorhizobium albiziae"	"CCBAU 61158T"
"Mariniflexile gromovii"	"KMM6038"
"Chitinilyticum aquatile"	"c14T"
"Chitinilyticum aquatile"	"c14T"
"Tenacibaculum aestuarii"	"SMK-4"
"Janibacter hoylei"	"PVAS-1T"
"Chryseobacterium taiwanense"	"Soil-3-27"
"Humicoccus flavidus"	"DS-52T "
"Chelatococcus  Chelatococcus sambhunathii"	"HT4"
"Chelatococcus sambhunathii"	"HT4"
"Paenisporosarcina quisquiliarum"	"SK 55T "
"Dyadobacter beijingensis"	"A54T "
"Chryseobacterium caeni"	"N4T "
"Paenibacillus forsythiae"	"T98"
"Paenibacillus sabinae"	"T27T"
"Pseudomonas delhiensis"	"RLD-1T"
"Ruania albidi•Ââava"	"3-6T "
"Brevibacterium samyangense"	"SST-8"
"Pseudonocardia  ailaonensis"	"YIM 45505"
"Deinococcus yunweiensis"	"YIM 007T"
"Ureibacillus composti"	"HC145T"
"Ureibacillus thermophilus"	"HC148T"
"Caenimonas koreensis"	"EMB320"
"Salinicoccus luteus"	"YIM 70202T"
"Halorubrum aidingense"	"31-hong"
"Halorubrum lipolyticum"	"09-Mar"
"Paenibacillus sonchi"	"X19-5T"
"Rickettsia raoultii"	"Khabarovsk"
"Ochrobactrum pseudintermedium"	"ADV31T"
"Ochrobactrum pseudintermedium"	"ADV31T"
"Desulfovibrio marinus"	"E-2T "
"Haloterrigena limicola"	"AX-7"
"Haloterrigena longa"	"ABH32"
"Saccharomonospora saliphila"	"YIM 90502"
"Mycobacterium pallens"	"czh-8T"
"Mycobacterium rutilum"	"czh-117T"
"Zhihengliuella halotolerans"	"YIM70185T"
"Runella defluvii"	"EMB13T"
"Flavobacterium filum"	"EMB34T"
"Hydrogenophaga caeni"	"EMB71T"
"Brevundimonas aveniformis"	"EMB102T"
"Flavobacterium defluvii"	"EMB117T"
"Simplicispira limi"	"EMB325T"
"Bacillus acidiceler"	"CBD119T"
"Moryella indoligenes"	"AIP 220.04T "
"Cohaesibacter gelatinilyticus"	"CL-GR15"
"Oceanobacillus profundus"	"CL-MP28T"
"Azospirillum canadense"	"DS2T"
"Thalassococcus halodurans"	"UST050418-052T"
"Altererythrobacter indicus"	"MSSRF26"
"Campylobacter cuniculorum"	"150BT"
"Yersinia entomophaga"	"MH96T"
"Nocardioides salarius"	"CL-Z59"
"Reinekea blandensis"	"MED297T"
"Arenimonas donghaensis"	"HO3-R19T"
"Aeromicrobium tamlense"	"SSW1-57T"
"Nocardioides furvisabuli"	"SBS-26T"
"Zoogloea caeni"	"EMB43T"
"Marinobacter gudaonensis"	"SL014B61AT"
"Oceanicola nanhaiensis"	"SS011B1-20T"
"Gulbenkiania indica"	"HT27"
"Gulbenkiania  Gulbenkiania indica"	"HT27"
"Labrys neptuniae"	"Liujia-146T"
"Haloplanus natans "	"RE-101T"
"Haloplanus natans "	"RE-101T"
"Gordonia shandongensis"	"SD29T"
"Olivibacter sitiensis"	"AW-6T"
"Halomonas gudaonensis"	"SL014B-69T"
"Paracoccus halophilus"	"HN-182"
"Pseudoxanthomonas yeongjuensis"	"GR12-1T"
"Tumebacillus permanentifrigoris"	"Eur1 9.5"
"Tetrasphaera remsis"	"3-M5-R-4T"
"Vibrio sinaloensis"	"CAIM 797"
"Comamonas odontotermitis"	"Dant 3-8T "
"Trabulsiella odontotermitis"	"Eant 3-9T"
"Erythrobacter jejuensis"	"CNU001"
"Niabella aurantiaca"	"R2A15-11T "
"Marinobacter pelagius"	"HS225"
"Cohnella laeviribosi"	"RI-39T"
"Cohnella laeviribosi"	"RI-39T"
"Glycomyces sambucus "	"E71T"
"Streptomyces alni"	"D65T"
"Streptococcus ictaluri"	"707-05T"
"Lysobacter niabensis"	"GH34-4T"
"Lysobacter niastensis"	"GH41-7T"
"Streptomyces  emeiensis"	"4776T"
"Nocardia jinanensis"	"04-5195T"
"Methylophaga aminisulfidivorans"	"MPT"
"Bacillus decisifrondis"	"E5HC-32T"
"Avibacterium  endocarditidis"	"20186H4H1T"
"Burkholderia soli"	"GP25-8T"
"Parapusillimonas  granuli"	"Ch07"
"Parapusillimonas granuli"	"Ch07"
"Thiohalospira  halophila"	"HL 3"
"Thiohalomonas denitrificans"	"HLD 2T"
"Thiohalomonas nitratireducens"	"HRhD 3spT "
"Thiohalorhabdus denitrificans"	"HL 19"
"Paenibacillus zanthoxyli"	"JH29T "
"Salinicoccus jeotgali"	"S2R53-5T"
"Methylobacterium jeotgali"	"S2R03-9T"
"Leifsonia ginsengi"	"wged11T"
"Algiphilus aromaticivorans"	"DG1253"
"Amycolatopsis nigrescens"	"CSC17Ta-90T"
"Noviherbaspirillum malthae"	"CC-AFH3"
"Micrococcus flavus"	"LW4T"
"Marinomonas arctica"	"328"
"Bacillus aidingensis"	"17-May"
"Aeromonas bivalvium"	"868ET"
"Ornithinimicrobium pekingense"	"LW6"
"Phaeobacter arcticus"	"20188"
"Maribius pelagius"	"B5-6T"
"Cryobacterium psychrotolerans"	"0549T"
"Salinibacterium xinjiangense"	"543"
"Methanobacterium arcticum"	"M2"
"Thermophagus xiamenensis"	"HS1"
"Prevotella timonensis"	"4401737T"
"Pelagibacillus goriensis"	"CL-GR16T"
"Lactobacillus ghanensis"	"L489T "
"Frondicola  australicus"	"E1HC-02T"
"Edaphobacter modestus"	"Jbg-1"
"Edaphobacter aggregans"	"Wbg-1"
"Kocuria turfanensis"	"HO-9042"
"Labedella gwakjiensis"	"KSW2-17T"
"Loktanella Tamlensis"	"SSW-35"
"Mycobacterium crocinum"	"czh-42T"
"Photobacterium lutimaris"	"DF-42T"
"Natronorubrum sulfidifaciens"	"AD2T"
"Mycobacterium seoulense"	"03-19T"
"Mycobacterium paraseoulense"	"31118"
"Mycobacterium  Mycobacterium paraseoulense"	"31118"
"Mycobaterium senuense"	"05-832"
"Puniceicoccus vermicola"	"IMCC1545T"
"Salegentibacter catena"	"HY1T"
"Wenxinia marina"	"HY34T"
"Metschnikowia cerradonensis"	"UFMG 03-T67.1T"
"Modicisalibacter tunisiensis"	"LIT2T"
"Geosporobacter subterraneus"	"VNs68T"
"Jannaschia pohangensis"	"H1-M8"
"Ochrobactrum ciceri"	"Ca-34"
"Ochrobactrum ciceri"	"Ca-34"
"Aquincola tertiaricarbonis "	" L10T "
"Oceanicola pacificus"	"W11-2BT"
"Oceanicola pacificus"	"W11-2BT"
"Brumimicrobium mesophilum"	"YH207"
"Marinoscillum  pacificum"	"MRN461T"
"Lactobacillus aquaticus"	"IMCC1736T"
"Perlucidibaca piscinae"	"IMCC1704"
"Methylibium aquaticum"	"IMCC1728T"
"Gracilibacillus lacisalsi"	"BH312"
"Nisaea denitrificans"	"DR41_21"
"Nisaea nitritireducens"	"DR41_18"
"Ulginosibacterium gangwonense"	"5YN10-9"
"Donghicola eburneus"	"SW-277T"
"Skermanella aerolata"	"5416T-32T "
"Pontibacter akesuensis"	"AKS1T "
"Agromyces allii"	"UMS-62T"
"Pseudoruegeria aquimaris"	"SW-255T"
"Azospirillum zeae"	"N7T"
"Azospirillum zeae"	"N7T"
"Deinococcus piscis"	"3axT"
"Deinococcus piscis"	"3axT"
"Sulfitobacter marinus"	"SW-265T"
"Salinicoccus iranensis"	"QW6"
"Ferrimonas senticii"	"P2S11T"
"Sphingopyxis  marina"	"FR1087"
"Sphingopyxis litoris"	"FR1093"
"Glaciecola agarilytica"	"NO2T"
"Chromobacterium haemolyticum"	"MDA0585"
"Nocardioides insulae"	"DS-51T "
"Pseudoalteromonas arctica"	"A 37-1-2"
"Enterorhabdus caecimuris"	"B7"
"Enterorhabdus caecimuris"	"B7"
"Sphingomonas  sanxanigenens"	"NX02T"
"Methylonatrum kenyense"	"AMT 1T"
"Amycolatopsis saalfeldensis"	"HKI 0457T"
"Gilvimarinus chinensis"	"QM42T"
"Brachybacterium phenoliresistens"	"phenol-AT"
"Tenacibaculum litopenaei"	"B-IT"
"Rothia terrae"	"L-143"
"Oceanicola marinus"	"AZO-CT"
"Desulfatiferula olefinivorans"	"LM2801T"
"Aestuariimicrobium kwangyangense"	"R27T"
"Methylohalomonas lacus"	"HMT 1T"
"Fulvivirga kasyanovii"	"KMM6220T"
"Andreprevotia chitinilytica"	"JS11-7T"
"Alteromonas tagae"	"AT1T"
"Alteromonas simiduii"	"AS1T"
"Salinicoccus kunmingensis"	"YIMY15T"
"Desulfocurvus  vexinensis "	"VNs36T"
"Luteimonas composti"	"CC-YY255T"
"Vibrio rhizosphaerae"	"MSSRF3T"
"Rhizobium cellulosilyticum"	"ALA10B2T"
"Haloferax elongans"	"SA5"
"Haloferax mucosum"	"PA12"
"Pseudomonas tuomuerensis"	"78-123T"
"Chryseobacterium haifense"	"H38T "
"Chryseobacterium oranimense"	"H8"
"Epilithonimonas lactis"	"H1"
"Simiduia Areninigrae"	"M2-5"
"Moorella humiferrea"	"64-FGQ"
"Pseudonocardia tropica"	"YIM 61452"
"Saccharothrix variisporea"	"Saccharothrix variisporea"
"Saccharothrix variisporea"	"NRRL B-16296"
"Paenibacillus sophorae"	"S27T"
"Flavobacterium haoranii"	"LQY-7"
"Sphingobacterium wenxiniae"	"LQY-18"
"Micromonospora yangpuensis"	"FXJ6.011"
"Streptococcus lactarius"	"MV1T"
"Ruegeria faecimaris"	"HD-28T"
"Flavobacterium dongtanense"	"LW30T"
"Mycobacterium heraklionense"	"GN-1"
"Lysobacter  ruishenii"	"CTN-1T"
"Spinactinospora alkalitolerans"	"Spinactinospora alkalitolerans"
"Rhizobium vignae"	"CCBAU 05176T"
"Paracoccus sphaerophysae"	"Zy-3T"
"Pedobacter ginsenosidimutans"	"THG-45"
"Erwinia typographi"	"DSM 22678"
"Lutibacter flavus"	"IMCC1507"
"Roseomonas pecuniae"	"N75T"
"Thermoanaerobacter pentosaceus"	"DTU01"
"Marinobacterium coralli"	"Marinobacterium coralli"
"Marinobacterium coralli"	"R-40509"
"Marinobacterium coralli"	"R-40509T"
"Paenibacillus chungangensis"	"CAU9038T"
"Paenibacillus chungangensis"	"Paenibacillus chungangensis"
"Paenibacillus chungangensis"	"CAU 9038"
"Paenibacillus puldeungensis "	"CAU 9324T "
"Pedobacter tournemirensis"	"TF5-37.2-LB10"
"Aquamicrobium aestuarii"	"G210"
"Halobellus limi"	"TBN53"
"Amphibacillus marinus"	"J1"
"Mycetocola manganoxydans"	"MB1-14"
"Vibrio caribbeanicus"	"N384"
"Streptomyces zinciresistens"	"CCNWNQ 0016T"
"Pseudonocardia artemisiae"	"YIM 63587T"
"Salinactinospora qingdaonensis"	"CXB832"
"Myroides phaeus"	"MY15"
"Litoribacter ruber"	"YIM CH208"
"Azospirillum formosense"	"CC-Nfb-7"
"Halanaerobacter jeridensis"	"CEJFG43"
"Kordiimonas aquimaris"	"MEBiC06554"
"Desulfonatronobacter acidivorans"	"APT2"
"Jeotgalicoccus coquinae"	"MK-7T"
"Jeotgalicoccus coquinae"	"Jeotgalicoccus coquinae"
"Jeotgalicoccus coquinae"	"MK-7"
"Jeotgalicoccus aerolatus"	"MPA-33T"
"Jeotgalicoccus aerolatus"	"MPA-33"
"Flavitalea gansuensis"	"JCN-23"
"Flavobacterium dankookense"	"ARSA-19"
"Aquabacterium limnoticum"	"ABP-4"
"Rhizobium halophytocola"	"YC6881"
"Kangiella spongicola"	"A79T"
"Chryseobacterium chaponense"	"Chryseobacterium chaponense"
"Chryseobacterium chaponense"	"Sa 1147-06T"
"Sphingobacterium kyonggiense"	"02/01/02"
"Chitinivorax tropicus"	"KL-9"
"Streptomyces endophyticus"	"YIM 65594"
"Rhodococcus Artemisiae"	"YIM 65754"
"Streptomyces endophyticus"	"YIM 65642"
"Streptomyces endophyticus"	"YIM 65638"
"Ferrimonas sediminum"	"JYr13"
"Halomonas smyrnensis"	"AAD4"
"Halomonas smyrnensis"	"AAD17"
"Promicromonospora endophytica"	"EUM 273"
"Bacillus endoradicis"	"CCBAU 05776"
"Devosia psychrophila"	"Cr7-05"
"Nitratireductor indicus"	"Nitratireductor indicus"
"Nitratireductor indicus"	"C115T"
"Enterococcus ureasiticus"	"CCRI-16986"
"Enterococcus quebecensis"	"CCRI-16985"
"Bacillus nanhaiensis"	"JSM082006T"
"Microbacterium oryzae"	"MB10"
"Shewanella Arctica"	"IR 12"
